ts_code,trade_date,open,high,low,close,vol,amount,pre_close,change,pct_chg
002466.SZ,20250902,44.02,44.59,42.53,42.58,586778.16,2552627.18,43.86,-1.28,-2.9184
002466.SZ,20250903,42.53,44.4,41.8,42.12,525623.69,2257543.923,42.58,-0.46,-1.0803
002466.SZ,20250904,41.92,43.94,41.82,42.66,638971.01,2750046.036,42.12,0.54,1.2821
002466.SZ,20250905,42.24,46.78,41.92,46.35,1297054.58,5836183.211,42.66,3.69,8.6498
002466.SZ,20250908,46.42,49.67,44.9,47.34,1331835.85,6239371.416,46.35,0.99,2.1359
002466.SZ,20250909,46.5,48.09,45.86,46.24,866182.58,4073498.686,47.34,-1.1,-2.3236
002466.SZ,20250910,43.74,44.72,43.16,43.93,884444.62,3879003.447,46.24,-2.31,-4.9957
002466.SZ,20250911,43.8,44.12,43.1,43.93,569931.23,2485842.995,43.93,0.0,0.0
002466.SZ,20250912,43.94,44.91,43.36,44.03,583564.25,2564018.421,43.93,0.1,0.2276
002466.SZ,20250915,44.04,45.95,44.04,45.31,664218.91,3005513.54,44.03,1.28,2.9071
002466.SZ,20250916,45.42,45.8,43.81,44.49,469095.65,2085594.73,45.31,-0.82,-1.8098
002466.SZ,20250917,44.37,45.45,43.75,44.79,438789.68,1953966.339,44.49,0.3,0.6743
002466.SZ,20250918,44.5,44.5,42.55,43.15,508169.79,2223079.595,44.79,-1.64,-3.6615
002466.SZ,20250919,43.18,46.0,43.18,45.01,933554.09,4206067.309,43.15,1.86,4.3105
002466.SZ,20250922,45.21,45.22,43.3,43.87,571298.33,2502309.387,45.01,-1.14,-2.5328
002466.SZ,20250923,43.4,44.43,42.01,42.82,483426.06,2085576.611,43.87,-1.05,-2.3934
002466.SZ,20250924,42.71,44.0,42.01,43.34,458349.8,1972599.444,42.82,0.52,1.2144
002466.SZ,20250925,43.47,45.4,43.47,44.69,738342.31,3285010.456,43.34,1.35,3.1149
002466.SZ,20250926,44.1,46.76,43.79,44.77,782166.04,3535019.792,44.69,0.08,0.179
002466.SZ,20250929,45.15,46.65,45.0,46.44,874288.57,4013798.962,44.77,1.67,3.7302
002466.SZ,20250930,46.38,48.0,45.89,47.57,854582.78,4035947.529,46.44,1.13,2.4332
002466.SZ,20251009,49.68,52.2,48.6,51.33,1084993.93,5453647.086,47.57,3.76,7.9041
002466.SZ,20251010,51.08,51.39,47.14,47.65,939766.0,4609220.488,51.33,-3.68,-7.1693
002466.SZ,20251013,45.0,49.89,45.0,49.77,799660.69,3791341.09,47.65,2.12,4.4491
002466.SZ,20251014,50.41,50.48,46.69,46.98,738810.83,3590645.388,49.77,-2.79,-5.6058
