ts_code,trade_date,open,close,high,low,vol,amount,pct_chg,change
09696.HK,20260513,60.5,59.3,62.4,59.05,7284445.0,437890832.0,-2.87,-1.75
09696.HK,20260514,59.05,57.45,59.8,56.5,8430020.0,484732000.0,-3.12,-1.85
09696.HK,20260515,57.2,54.85,57.9,54.6,8482892.0,472578864.0,-4.53,-2.6
09696.HK,20260518,54.9,54.3,55.95,53.5,4999400.0,274224736.0,-1.0,-0.55
09696.HK,20260519,53.9,52.35,53.9,51.45,7686130.0,400432416.0,-3.59,-1.95
09696.HK,20260520,51.5,53.9,54.55,50.95,11133800.0,589319808.0,2.96,1.55
09696.HK,20260521,55.3,52.1,55.3,51.9,5832896.0,311080496.0,-3.34,-1.8
09696.HK,20260522,52.85,52.15,52.95,51.05,8242078.0,426928656.0,0.1,0.05
09696.HK,20260526,51.25,51.55,51.85,49.5,6384500.0,325198368.0,-1.15,-0.6
09696.HK,20260527,51.55,50.9,52.85,50.3,4632876.0,239037448.0,-1.26,-0.65
09696.HK,20260528,51.6,50.15,52.3,48.6,5928420.0,295467920.0,-1.47,-0.75
09696.HK,20260529,51.0,49.08,51.05,48.94,4301410.0,213133832.0,-2.13,-1.07
09696.HK,20260601,49.08,49.04,50.9,48.6,4128650.0,204930942.0,-0.08,-0.04
09696.HK,20260602,49.0,48.24,49.0,47.0,3763200.0,180476996.0,-1.63,-0.8
09696.HK,20260603,47.78,47.5,48.1,46.62,4103000.0,194510911.0,-1.53,-0.74
09696.HK,20260604,47.1,45.76,47.48,45.22,4894434.0,224191619.0,-3.66,-1.74
09696.HK,20260605,45.7,43.78,46.18,43.72,8181439.0,366153792.0,-4.33,-1.98
09696.HK,20260608,42.58,43.04,44.22,42.18,5480381.0,236503286.0,-1.69,-0.74
09696.HK,20260609,43.36,44.9,46.4,42.64,9537800.0,426027424.0,4.32,1.86
09696.HK,20260610,45.0,43.76,45.98,42.68,7850000.0,345752112.0,-2.54,-1.14
09696.HK,20260611,43.02,44.72,46.0,42.8,12704800.0,567571760.0,2.19,0.96
09696.HK,20260612,45.74,47.5,47.98,44.9,10597700.0,495427248.0,6.22,2.78
09696.HK,20260615,48.9,48.3,49.62,47.02,8741187.0,420747136.0,1.68,0.8
09696.HK,20260616,48.06,46.94,48.24,46.62,5802816.0,274593952.0,-2.82,-1.36
09696.HK,20260617,47.48,46.44,48.5,46.16,5504580.0,260325670.0,-1.07,-0.5
09696.HK,20260618,46.5,43.8,46.5,42.88,9445460.0,415668944.0,-5.68,-2.64
09696.HK,20260622,42.18,44.76,45.1,41.4,7894313.0,342369056.0,2.19,0.96
09696.HK,20260623,44.64,42.34,45.2,41.82,4330500.0,186322592.0,-5.41,-2.42
09696.HK,20260624,42.34,43.32,44.5,41.5,8130200.0,351885600.0,2.31,0.98
09696.HK,20260625,43.36,41.42,43.8,40.84,6584471.0,274442192.0,-4.39,-1.9
09696.HK,20260626,41.3,38.64,41.62,38.38,8156000.0,319834464.0,-6.71,-2.78
09696.HK,20260629,38.86,39.6,40.4,38.48,4135736.0,163480254.0,2.48,0.96
09696.HK,20260630,39.42,40.18,41.6,39.42,5982320.0,241317800.0,1.46,0.58
09696.HK,20260702,41.2,39.5,41.2,39.16,5883600.0,234907395.0,-1.69,-0.68
09696.HK,20260703,40.5,40.3,41.3,40.0,5314070.0,215785457.0,2.03,0.8
